Year of Birth,Gender,Rank
2011,FEMALE,39
2011,FEMALE,45
2011,FEMALE,45
2011,FEMALE,34
2011,FEMALE,41
2011,FEMALE,45
2011,FEMALE,3
2011,FEMALE,30
2011,FEMALE,44
2011,FEMALE,43
2011,FEMALE,42
2011,FEMALE,45
2011,FEMALE,14
2011,FEMALE,42
2011,FEMALE,32
2011,FEMALE,43
2011,FEMALE,36
2011,FEMALE,16
2011,FEMALE,28
2011,FEMALE,25
2011,FEMALE,16
2011,FEMALE,42
2011,FEMALE,2
2011,FEMALE,30
2011,FEMALE,42
2011,FEMALE,45
2011,FEMALE,1
2011,FEMALE,6
2011,FEMALE,38
2011,FEMALE,41
2011,FEMALE,34
2011,FEMALE,23
2011,FEMALE,33
2011,FEMALE,45
2011,FEMALE,30
2011,FEMALE,30
2011,FEMALE,37
2011,FEMALE,19
2011,FEMALE,42
2011,FEMALE,34
2011,FEMALE,27
2011,FEMALE,24
2011,FEMALE,23
2011,FEMALE,39
2011,FEMALE,42
2011,FEMALE,45
2011,FEMALE,21
2011,FEMALE,43
2013,MALE,91
2011,FEMALE,7
2011,FEMALE,17
2011,FEMALE,13
2011,FEMALE,14
2011,FEMALE,10
2011,FEMALE,22
2011,FEMALE,23
2011,FEMALE,35
2011,FEMALE,39
2011,FEMALE,45
2011,FEMALE,43
2011,FEMALE,40
2011,FEMALE,39
2011,FEMALE,28
2011,FEMALE,44
2011,FEMALE,45
2011,FEMALE,37
2011,FEMALE,29
2011,FEMALE,34
2011,FEMALE,42
2011,FEMALE,42
2011,FEMALE,15
2011,FEMALE,40
2011,FEMALE,38
2011,FEMALE,41
2011,FEMALE,14
2011,FEMALE,10
2011,FEMALE,41
2011,FEMALE,44
2011,FEMALE,40
2011,FEMALE,40
2011,FEMALE,36
2011,FEMALE,35
2011,FEMALE,25
2011,FEMALE,45
2011,FEMALE,40
2011,FEMALE,31
2011,FEMALE,42
2011,FEMALE,45
2011,FEMALE,38
2011,FEMALE,43
2011,FEMALE,9
2011,FEMALE,36
2011,FEMALE,42
2011,FEMALE,39
2011,FEMALE,27
2011,FEMALE,19
2011,FEMALE,45
2011,FEMALE,45
2011,FEMALE,44
2011,FEMALE,42
2011,FEMALE,41
2011,FEMALE,13
2011,FEMALE,26
2011,FEMALE,45
2011,FEMALE,30
2011,FEMALE,78
2011,FEMALE,21
2011,FEMALE,28
2011,FEMALE,62
2011,FEMALE,67
2011,FEMALE,76
2011,FEMALE,75
2011,FEMALE,77
2011,FEMALE,72
2011,FEMALE,75
2011,FEMALE,36
2011,FEMALE,43
2011,FEMALE,72
2011,FEMALE,64
2011,FEMALE,56
2011,FEMALE,73
2011,FEMALE,66
2011,FEMALE,16
2011,FEMALE,69
2011,FEMALE,72
2011,FEMALE,77
2011,FEMALE,30
2011,FEMALE,58
2011,FEMALE,57
2011,FEMALE,63
2011,FEMALE,55
2011,FEMALE,17
2011,FEMALE,55
2011,FEMALE,71
2011,FEMALE,77
2011,FEMALE,32
2011,FEMALE,68
2011,FEMALE,49
2011,FEMALE,24
2011,FEMALE,58
2011,FEMALE,77
2011,FEMALE,69
2011,FEMALE,74
2011,FEMALE,75
2011,FEMALE,75
2011,FEMALE,75
2011,FEMALE,32
2011,FEMALE,23
